BasicParametersTableID;Active;Name;AbbreviationEN;AbbreviationRU;Measure
1;1;общая (списочная) численность НПР без работающих по договорам гражданско-правового характера;SCHNPR;СЧНПР;чел
2;1;численность студентов - ОЧНИКОВ, обучающихся по программам аспирантуры;a_A_pk;a_А_пк;чел
3;1;численность студентов аспирантуры, поступивших из других регионов Российской Федерации  очной формы обучения;a_A_P_pk;a_A_P_пк;чел
4;1;численность студентов очной формы обучения, в аспирантуре, имеющих диплом бакалавра, диплом специалиста или диплом магистра других (внешних) организаций;a_A_dvo_pk;a_А_дво_пк;чел
5;1;численность студентов - ОЧНО-ЗАОЧНИКОВ (ВЕЧЕРНИКОВ), обучающихся по программам аспирантуры;b_A_pk;b_А_пк;чел
6;1;численность студентов аспирантуры, поступивших из других регионов Российской Федерации  очно- заочной (вечерней) формы обучения;b_A_P_pk;b_A_P_пк;чел
7;1;численность студентов очно- заочной (вечерней) формы обучения,в аспирантуре, имеющих диплом бакалавра, диплом специалиста или диплом магистра других (внешних) организаций;b_A_dvo_pk;b_А_дво_пк;чел
8;1;численность студентов - ЗАОЧНИКОВ, обучающихся по программам аспирантуры;s_A_pk;с_А_пк;чел
9;1;численность студентов аспирантуры, поступивших из других регионов Российской Федерации  заочной формы обучения;s_A_P_pk;с_A_P_пк;чел
10;1;численность студентов заочной формы обучения, в аспирантуре, имеющих диплом бакалавра, диплом специалиста или диплом магистра других (внешних) организаций;s_A_dvo_pk;с_А_дво_пк;чел
11;1;численность студентов - ЭКСТЕРНАТА, обучающихся по программам аспирантуры;d_A_pk;d_А_пк;чел
12;1;численность студентов аспирантуры, поступивших из других регионов Российской Федерации  экстерната;d_A_P_pk;d_A_P_пк;чел
13;1;численность студентов экстерната), в аспирантуре, имеющих диплом бакалавра, диплом специалиста или диплом магистра других (внешних) организаций;d_A_dvo_pk;d_А_дво_пк;чел
14;1;численность иностранных студентов очной формы обучения, обучающихся по программам магистратуры;a_YSM_pr;a_ИСМ_пр;чел
15;1;численность студентов - ОЧНИКОВ, обучающихся по программам магистратуры;a_M_pk;a_М_пк;чел
16;1;численность студентов магистратуры, имеющих диплом бакалавра, диплом специалиста или диплом магистра других (внешних!) организаций очной формы обучения;a_M_dvo_pk;a_М_дво_пк;чел
17;1;численность студентов очной формы обучения магистратуры  по областям знаний «Инженерное дело, технологии и технические науки», «Здравоохранение и медицинские науки», «Образование и педагогические науки»  с которыми заключены договоры о целевом обучении;a_M_dco_pk_oz;а_М_дцо_пк_оз;чел
18;1;численность студентов очной формы обучения магистратуры по областям знаний «Инженерное дело, технологии и технические науки», «Здравоохранение и медицинские науки», «Образование и педагогические науки»;a_M_pk_oz;a_М_пк_оз;чел
19;1;численность студентов, обучающихся по программам магистратуры (за вычетом тех специальностей где не предусмотрен прием иностранных студентов)  очной формы обучения;a_M_pk_ys;a_М_пк_ис;чел
20;1;численность студентов магистратуры, поступивших из других регионов Российской Федерации очной формы обучения;a_M_R_pk;a_М_Р_пк;чел
21;1;численность студентов магистратуры очно- заочной (вечерней) формы обучения;b_M_pk;b_М_пк;чел
22;1;численность иностранных студентов очно- заочной (вечерней) формы обучения, обучающихся по программам магистратуры;b_YSM_pr;b_ИСМ_пр;чел
23;1;численность студентов магистратуры, имеющих диплом бакалавра, диплом специалиста или диплом магистра других (внешних!) организаций  очно- заочной (вечерней) формы обучения;b_M_dvo_pk;b_М_дво_пк;чел
24;1;численность студентов очно- заочной (вечерней) формы обучения магистратуры  по областям знаний «Инженерное дело, технологии и технические науки», «Здравоохранение и медицинские науки», «Образование и педагогические науки»  с которыми заключены договоры и целевом обучении;b_M_dco_pk_oz;b_М_дцо_пк_оз;чел
25;1;численность студентов очно- заочной (вечерней) формы обучения магистратуры по областям знаний «Инженерное дело, технологии и технические науки», «Здравоохранение и медицинские науки», «Образование и педагогические науки»;b_M_pk_oz;b_М_пк_оз;чел
26;1;численность студентов, обучающихся по программам магистратуры (за вычетом тех специальностей где не предусмотрен прием иностранных студентов) очно- заочной (вечерней) формы обучения;b_M_pk_ys;b_М_пк_ис;чел
27;1;численность студентов магистратуры, поступивших из других регионов Российской Федерации очно- заочной (вечерней) формы обучения;b_M_R_pk;b_М_Р_пк;чел
28;1;численность студентов магистратуры заочной формы обучения;c_M_pk;c_М_пк;чел
29;1;численность иностранных студентов заочной формы обучения,обучающихся по программам магистратуры;c_YSM_pr;c_ИСМ_пр;чел
30;1;численность студентов магистратуры, имеющих диплом бакалавра, диплом специалиста или диплом магистра других (внешних!) организаций  заочной формы обучения;c_M_dvo_pk;c_М_дво_пк;чел
31;1;численность студентов заочной формы обучения, магистратуры  по областям знаний «Инженерное дело, технологии и технические науки», «Здравоохранение и медицинские науки», «Образование и педагогические науки»  с которыми заключены договоры о целевом обучении;c_M_dco_pk_oz;c_М_дцо_пк_оз;чел
32;1;численность студентов заочной формы обучения, магистратуры по областям знаний «Инженерное дело, технологии и технические науки», «Здравоохранение и медицинские науки», «Образование и педагогические науки»;c_M_pk_oz;c_М_пк_оз;чел
33;1;численность студентов, обучающихся по программам магистратуры (за вычетом тех специальностей где не предусмотрен прием иностранных студентов) заочной формы обучения;c_M_pk_ys;c_М_пк_ис;чел
34;1;численность студентов магистратуры, поступивших из других регионов Российской Федерации заочной формы обучения;c_M_R_pk;c_М_Р_пк;чел
35;1;численность студентов - ЭКСТЕРНАТА, обучающихся по программам магистратуры;d_M_pk;d_М_пк;чел
36;1;численность иностранных студентов экстерната, обучающихся по программам магистратуры;d_YSM_pr;d_ИСМ_пр;чел
37;1;численность студентов  экстерната магистратуры, имеющих диплом бакалавра, диплом специалиста или диплом магистра других (внешних!) организаций;d_M_dvo_pk;d_М_дво_пк;чел
38;1;численность студентов экстерната магистратуры  по областям знаний «Инженерное дело, технологии и технические науки», «Здравоохранение и медицинские науки», «Образование и педагогические науки»  с которыми заключены договоры о целевом обучении;d_M_dco_pk_oz;d_М_дцо_пк_оз;чел
39;1;численность студентов экстерната) магистратуры по областям знаний «Инженерное дело, технологии и технические науки», «Здравоохранение и медицинские науки», «Образование и педагогические науки»;d_M_pk_oz;d_М_пк_оз;чел
40;1;численность студентов экстерната , обучающихся по программам магистратуры (за вычетом тех специальностей где не предусмотрен прием иностранных студентов;d_M_pk_ys;d_М_пк_ис;чел
41;1;численность студентов экстерната магистратуры, поступивших из других регионов Российской Федерации;d_M_R_pk;d_М_Р_пк;чел
42;1;численность студентов - ОЧНИКОВ, обучающихся по программам специалитета;a_S_pk;a_С_пк;чел
43;1;численность студентов очной формы обучения специалитета  по областям знаний «Инженерное дело, технологии и технические науки», «Здравоохранение и медицинские науки», «Образование и педагогические науки»  с которыми заключены договоры о целевом обучении;a_S_dco_pk_oz;а_С_дцо_пк_оз;чел
44;1;"численность студентов специалистов очной формы обучения;по областям знаний «Инженерное дело, технологии и технические науки», «Здравоохранение и медицинские науки», «Образование и педагогические науки»";a_S_pk_oz;а_С_пк_оз;чел
45;1;численность иностранных студентов очной формы обучения, обучающихся по программам  специалитета;a_YYS_pr;а_ИИС_пр;чел
46;1;"численность студентов очной формы обучения; обучающихся по программам специалитета (за вычетом тех специальностей где не предусмотрен прием иностранных студентов)";a_S_pk_ys;а_С_пк_ис;чел
47;1;численность студентов - ОЧНО-ЗАОЧНИКОВ (ВЕЧЕРНИКОВ), обучающихся по программам специалитета;b_S_pk;b_С_пк;чел
48;1;численность студентов очно- заочной (вечерней) формы обучения специалитета  по областям знаний «Инженерное дело, технологии и технические науки», «Здравоохранение и медицинские науки», «Образование и педагогические науки»  с которыми заключены договоры и целевом обучении;b_S_dco_pk_oz;b_С_дцо_пк_оз;чел
49;1;"численность студентов специалистов очно- заочной (вечерней) формы обучения;  по областям знаний «Инженерное дело, технологии и технические науки», «Здравоохранение и медицинские науки», «Образование и педагогические науки»";b_S_pk_oz;b_С_пк_оз;чел
50;1;численность иностранных студентов очно- заочной (вечерней) формы обучения, обучающихся по программам  специалитета;b_YYS_pr;b_ИИС_пр;чел
51;1;"численность студентов очно- заочной (вечерней) формы обучения; обучающихся по программам специалитета (за вычетом тех специальностей где не предусмотрен прием иностранных студентов)";b_S_pk_ys;b_С_пк_ис;чел
