0	#	Родитель	#	0 	@
1.	#	Департаменты, управления	#	596,50 	@
1.1.	#	Ректорат	#	17,00 	@
..........	#	Президент	#	1,00 	@
..........	#	Первый проректор	#	1,00 	@
..........	#	Проректор по учебной и методической деятельности	#	1,00 	@
..........	#	Проректор по организационной и правовой деятельности	#	1,00 	@
..........	#	Проректор по научной деятельности	#	1,00 	@
..........	#	Проректор по финансовой и экономической деятельности	#	1,00 	@
..........	#	Проректор по международной деятельности и информационной политике	#	1,00 	@
..........	#	Проректор по инновационной деятельности и перспективному развитию	#	1,00 	@
..........	#	Проректор по социальной и молодежной политике	#	1,00 	@
..........	#	Проректор по административно-хозяйственной деятельности и развитию инфраструктуры	#	1,00 	@
..........	#	Советник при ректорате	#	6,00 	@
1.2.	#	Департамент образовательной деятельности	#	33,00 	@
..........	#	Директор департамента	#	1,00 	@
1.2.1.	#	Учебно-методическое управление	#	16,00 	@
..........	#	Начальник управления	#	1,00 	@
1.2.1.1.	#	Учебный отдел	#	5,00 	@
..........	#	Начальник отдела	#	1,00 	@
..........	#	Главный специалист по учебно-методической работе	#	1,00 	@
..........	#	Ведущий специалист по учебно-методической работе	#	1,00 	@
..........	#	Специалист по учебно-методической работе	#	2,00 	@
1.2.1.2.	#	Отдел среднего профессионального образования	#	5,00 	@
..........	#	Начальник отдела	#	1,00 	@
..........	#	Ведущий специалист по учебно-методической работе	#	4,00 	@
1.2.1.3.	#	Методический отдел	#	5,00 	@
..........	#	Начальник отдела	#	1,00 	@
..........	#	Главный специалист по учебно-методической работе	#	4,00 	@
1.2.2.	#	Управление развития образования	#	16,00 	@
..........	#	Начальник управления	#	1,00 	@
1.2.2.1.	#	Отдел развития образовательных технологий	#	5,00 	@
..........	#	Начальник отдела	#	1,00 	@
..........	#	Главный специалист по учебно-методической работе	#	1,00 	@
..........	#	Ведущий специалист по учебно-методической работе	#	3,00 	@
1.2.2.2.	#	Отдел лицензирования и аккредитации	#	5,00 	@
..........	#	Начальник отдела	#	1,00 	@
..........	#	Ведущий специалист по учебно-методической работе	#	4,00 	@
1.2.2.3.	#	Отдел профессиональной ориентации и довузовской подготовки	#	5,00 	@
..........	#	Начальник отдела	#	1,00 	@
..........	#	Ведущий специалист по учебно-методической работе	#	3,00 	@
..........	#	Специалист по учебно-методической работе	#	1,00 	@
1.3.	#	Департамент международной деятельности и информационной политики	#	33,00 	@
..........	#	Директор департамента	#	1,00 	@
1.3.1.	#	Управление международной деятельности: 	#	16,00 	@
